"Sigla da IES"	"Instituição de Ensino"	"Código do Programa"	"Programa"	"Ano da Publicação"	"Título"	"Produção Glosada?"	"Ordem"	"Autor"	"Categoria"	"Tipo de Produção"	"Subtipo"	"Nome do Detalhamento"	"Valor do Detalhamento"	"Área de Concentração"	"Linha de Pesquisa"	"Projeto de Pesquisa"	"A Produção é vinculada a Trabalho de Conclusão?"
"UNIVALI"	"UNIVERSIDADE DO VALE DO ITAJAÍ"	"41005015010P7"	"COMPUTAÇÃO"	"2019"	"A COMPUTATIONAL ANALYSIS OF A BILEVEL DECOMPOSITION FOR MPC OF RESOURCE CONSTRAINED DYNAMIC SYSTEMS"	"Não"	"1"	"PEDRO HENRIQUE VALDERRAMA BENTO DA SILVA"	"Participante Externo"	"BIBLIOGRÁFICA"	"TRABALHO EM ANAIS"	""	""	"COMPUTAÇÃO APLICADA"	"SISTEMAS EMBARCADOS E DISTRIBUIDOS"	"Modelos e algoritmos para otimização da cadeia de produção de petróleo e gás"	"Não"
"UNIVALI"	"UNIVERSIDADE DO VALE DO ITAJAÍ"	"41005015010P7"	"COMPUTAÇÃO"	"2019"	"A COMPUTATIONAL ANALYSIS OF A BILEVEL DECOMPOSITION FOR MPC OF RESOURCE CONSTRAINED DYNAMIC SYSTEMS"	"Não"	"2"	"BRINHOSA, AMANDA FURTADO"	"Sem Categoria"	"BIBLIOGRÁFICA"	"TRABALHO EM ANAIS"	""	""	"COMPUTAÇÃO APLICADA"	"SISTEMAS EMBARCADOS E DISTRIBUIDOS"	"Modelos e algoritmos para otimização da cadeia de produção de petróleo e gás"	"Não"
"UNIVALI"	"UNIVERSIDADE DO VALE DO ITAJAÍ"	"41005015010P7"	"COMPUTAÇÃO"	"2019"	"A COMPUTATIONAL ANALYSIS OF A BILEVEL DECOMPOSITION FOR MPC OF RESOURCE CONSTRAINED DYNAMIC SYSTEMS"	"Não"	"3"	"EDUARDO CAMPONOGARA"	"Participante Externo"	"BIBLIOGRÁFICA"	"TRABALHO EM ANAIS"	""	""	"COMPUTAÇÃO APLICADA"	"SISTEMAS EMBARCADOS E DISTRIBUIDOS"	"Modelos e algoritmos para otimização da cadeia de produção de petróleo e gás"	"Não"
"UNIVALI"	"UNIVERSIDADE DO VALE DO ITAJAÍ"	"41005015010P7"	"COMPUTAÇÃO"	"2019"	"A COMPUTATIONAL ANALYSIS OF A BILEVEL DECOMPOSITION FOR MPC OF RESOURCE CONSTRAINED DYNAMIC SYSTEMS"	"Não"	"4"	"LAIO ORIEL SEMAN"	"Docente"	"BIBLIOGRÁFICA"	"TRABALHO EM ANAIS"	""	""	"COMPUTAÇÃO APLICADA"	"SISTEMAS EMBARCADOS E DISTRIBUIDOS"	"Modelos e algoritmos para otimização da cadeia de produção de petróleo e gás"	"Não"
"UNIVALI"	"UNIVERSIDADE DO VALE DO ITAJAÍ"	"41005015010P7"	"COMPUTAÇÃO"	"2019"	"A COMPUTATIONAL ANALYSIS OF A BILEVEL DECOMPOSITION FOR MPC OF RESOURCE CONSTRAINED DYNAMIC SYSTEMS"	"Não"	""	""	""	"BIBLIOGRÁFICA"	"TRABALHO EM ANAIS"	"Cidade do evento"	"-"	"COMPUTAÇÃO APLICADA"	"SISTEMAS EMBARCADOS E DISTRIBUIDOS"	"Modelos e algoritmos para otimização da cadeia de produção de petróleo e gás"	"Não"
"UNIVALI"	"UNIVERSIDADE DO VALE DO ITAJAÍ"	"41005015010P7"	"COMPUTAÇÃO"	"2019"	"A COMPUTATIONAL ANALYSIS OF A BILEVEL DECOMPOSITION FOR MPC OF RESOURCE CONSTRAINED DYNAMIC SYSTEMS"	"Não"	""	""	""	"BIBLIOGRÁFICA"	"TRABALHO EM ANAIS"	"Divulgação"	"MEIO DIGITAL"	"COMPUTAÇÃO APLICADA"	"SISTEMAS EMBARCADOS E DISTRIBUIDOS"	"Modelos e algoritmos para otimização da cadeia de produção de petróleo e gás"	"Não"
"UNIVALI"	"UNIVERSIDADE DO VALE DO ITAJAÍ"	"41005015010P7"	"COMPUTAÇÃO"	"2019"	"A COMPUTATIONAL ANALYSIS OF A BILEVEL DECOMPOSITION FOR MPC OF RESOURCE CONSTRAINED DYNAMIC SYSTEMS"	"Não"	""	""	""	"BIBLIOGRÁFICA"	"TRABALHO EM ANAIS"	"Edição / Número"	"14"	"COMPUTAÇÃO APLICADA"	"SISTEMAS EMBARCADOS E DISTRIBUIDOS"	"Modelos e algoritmos para otimização da cadeia de produção de petróleo e gás"	"Não"
"UNIVALI"	"UNIVERSIDADE DO VALE DO ITAJAÍ"	"41005015010P7"	"COMPUTAÇÃO"	"2019"	"A COMPUTATIONAL ANALYSIS OF A BILEVEL DECOMPOSITION FOR MPC OF RESOURCE CONSTRAINED DYNAMIC SYSTEMS"	"Não"	""	""	""	"BIBLIOGRÁFICA"	"TRABALHO EM ANAIS"	"Fascículo"	"-"	"COMPUTAÇÃO APLICADA"	"SISTEMAS EMBARCADOS E DISTRIBUIDOS"	"Modelos e algoritmos para otimização da cadeia de produção de petróleo e gás"	"Não"
"UNIVALI"	"UNIVERSIDADE DO VALE DO ITAJAÍ"	"41005015010P7"	"COMPUTAÇÃO"	"2019"	"A COMPUTATIONAL ANALYSIS OF A BILEVEL DECOMPOSITION FOR MPC OF RESOURCE CONSTRAINED DYNAMIC SYSTEMS"	"Não"	""	""	""	"BIBLIOGRÁFICA"	"TRABALHO EM ANAIS"	"Idioma"	"PORTUGUES"	"COMPUTAÇÃO APLICADA"	"SISTEMAS EMBARCADOS E DISTRIBUIDOS"	"Modelos e algoritmos para otimização da cadeia de produção de petróleo e gás"	"Não"
"UNIVALI"	"UNIVERSIDADE DO VALE DO ITAJAÍ"	"41005015010P7"	"COMPUTAÇÃO"	"2019"	"A COMPUTATIONAL ANALYSIS OF A BILEVEL DECOMPOSITION FOR MPC OF RESOURCE CONSTRAINED DYNAMIC SYSTEMS"	"Não"	""	""	""	"BIBLIOGRÁFICA"	"TRABALHO EM ANAIS"	"ISBN/ISSN"	"-"	"COMPUTAÇÃO APLICADA"	"SISTEMAS EMBARCADOS E DISTRIBUIDOS"	"Modelos e algoritmos para otimização da cadeia de produção de petróleo e gás"	"Não"
